start	end	text
1587233	1589273	All you motherfuckers talking all this shit.
1589333	1590813	You don't know what you're talking about, dude.
1591173	1592154	You have no idea.
1592213	1593434	You haven't been paying attention.
1593833	1595273	You're sucked into your own life.
1595253	1599113	You're watching the Kardashians and all this other fucking fake ass bullshit.
1599815	1602355	And then you spout off about how this is embarrassing.
1602795	1603396	You know what?
1604155	1608015	You weren't embarrassed when our country was run by a literal vegetable.
1607995	1610015	You weren't embarrassed when...
1611475	1615296	They stole all your money and closed your businesses and fucked with you.
1615595	1620536	You weren't embarrassed when our whole country is a laughingstock of the entire world
1620515	1625116	because we're over here with a couple of fucking morons running our country.
1625335	1626576	Trans titties on the front line.
1626555	1629736	Bro, we got trans generals and, you know, we got kids.
1629835	1631896	We're promoting kids cutting off their dick.
1631875	1633616	And everybody else in the world is like.
1634493	1639493	the fuck is going on in the u.s you weren't embarrassed about that shit but you're embarrassed
1639473	1646293	about this man and this other man who have finally said uh no you're not gonna fucking do this shit
1646273	1653713	here okay i actually thought in my opinion that was the coolest baddest ass gangster ass shit
1653693	1658753	that i've ever seen from either one of those guys for sure bro so uh if you don't like it
1658733	1661753	and that's embarrassing to you then maybe you should fucking move
1662168	1665208	Maybe you should move because this is how we do things here.
1665548	1668768	And by the way, I don't jockey on Trump's balls, okay?
1668808	1669949	I call it how I see it.
1669948	1671228	If he does good, he does good.
1671248	1672469	If he does bad, he does bad.
1672808	1673509	That's great.
1673948	1674529	That's not good.
1674568	1675030	That's great.
1675168	1675570	That's great.
1675708	1675972	Okay?
1676308	1678148	This motherfucker's stealing your money.
1678428	1681408	You guys are out here working, and that's the problem.
1681488	1683868	A lot of these people that are on, they're not working.
1683848	1684310	They're not working.
1684288	1684552	Right?
1684668	1688268	So they don't see that tax be taken out of their check.
1688248	1691288	and then think about it going over to this guy so he can buy.
1692020	1696660	Four different mansions and fucking a yacht and two Bugattis.
1697740	1698401	He's got two bugs?
1698560	1698843	Yeah.
1699120	1699443	Damn.
1700220	1700861	Are they cool, though?
1701560	1703240	I mean, have you seen a bad Bugatti?
1703300	1703841	Yeah, that's true.
1703940	1704382	That's fair.
1704625	1706446	I'm just saying, dude, like, that's not.
1706525	1707207	That's not okay.
1707385	1708706	No, it's cool for me to have to.
1709785	1710546	You know what I'm saying?
1710725	1714546	But I didn't, you know, I didn't steal your fucking tax dollars to do it.
1714625	1714968	Exactly.
1715205	1716926	You know, like, dude, fuck this guy.
1717025	1717231	Yeah.
1717425	1720726	No, I mean, well, so this is what started that whole chain of events, right?
1720745	1721088	So you got.
1721065	1722026	I hate this motherfucker.
1722105	1722807	Oh, bro, I can't stand him.
1722785	1724806	And I can't stand people standing up for him.
1724785	1727166	It's so, it's stupid shit.
1727710	1734790	But after he left the Oval Office, he decided to go back to Europe,
1734770	1736931	and he did a little tour.
1736910	1738011	Did you hear what he said today?
1738710	1740691	About our kids?
1740690	1741093	Our troops.
1741270	1741932	You got that clip?
1742090	1742792	I can put it in.
1743150	1745451	Bro, this guy gets on television today.
1745510	1747731	You don't have to get it in there, but you guys can look it up.
1748669	1750190	This guy gets on TV today.
1750729	1751510	Today is Monday.
1751809	1753270	Okay, you're hearing this on Tuesday.
1753669	1762329	And he fucking says, the United States is going to have to send its sons and daughters to fight in Ukraine, and they will die.
1762509	1765189	That's what he said, his almost verbatim exact quote.
1766429	1774089	Dude, if we send a single soldier over there, like a single fucking soldier, this administration is no different than any other one.
1774149	1774249	100%.
1774769	1775171	Yeah.
1775309	1776250	Yeah, 100%, man.
1776867	1780687	But yeah, I mean he goes over it goes back to Europe and decides to do this little tour
1780667	1782688	So he stopped to stop in the UK
1783087	1784742	He went to the UK first.
1785105	1787102	He went to the UK to get some of that terrible food.
1787122	1787707	They got over there
1789107	1791328	Gordon Ramsay's only one knows how to make food over there
1793727	1795748	That's why he's so fucking famous, bro
1796387	1800267	That's why Gordon Ramsay's so famous because he's the only one over there who knows how to make food
